livraison_id,type_flux,entrepot_depart_id,entrepot_depart_nom,entrepot_arrivee_id,entrepot_arrivee_nom,product_id,product_name,categorie,date_depart,date_arrivee_prevue,duree_transport_j,quantite,poids_kg,transporteur,cout_transport_eur,statut_livraison,incident
LIV00766,Entrepôt → Magasin,E05,Toulouse-Ouest,E03,Marseille-Port,P005,Lessive,Droguerie,2025-02-16,2025-02-19,3,581,6550.8,DHL Supply Chain,1630.77,En transit,Aucun
LIV00767,Entrepôt → Magasin,E01,Paris-Rungis,E07,Bordeaux-Centre,P006,T-shirt homme,Textile,2025-01-23,2025-01-24,1,682,8416.8,XPO Logistics,1116.46,Livré,Erreur quantité
LIV00768,Magasin → Magasin,E05,Toulouse-Ouest,E06,Nice-Est,P008,Smartphone,Électronique,2025-01-23,2025-01-26,3,302,1221.7,Geodis,377.47,Livré,Aucun
LIV00769,Magasin → Magasin,E07,Bordeaux-Centre,E06,Nice-Est,P009,TV 4K,Électronique,2025-02-10,2025-02-14,4,1348,614.6,FM Logistic,166.12,Livré,Aucun
LIV00770,Magasin → Magasin,E03,Marseille-Port,E07,Bordeaux-Centre,P004,Shampoing,Droguerie,2025-11-02,2025-11-06,4,811,5144.5,Geodis,453.82,Livré,Retard transporteur
LIV00771,Fournisseur → Entrepôt,E01,Paris-Rungis,E02,Lyon-Sud,P008,Smartphone,Électronique,2025-08-10,2025-08-11,1,174,1811.5,FM Logistic,621.86,Retardé,Aucun
LIV00772,Entrepôt → Magasin,E01,Paris-Rungis,E05,Toulouse-Ouest,P008,Smartphone,Électronique,2025-10-11,2025-10-14,3,376,2914.6,DHL Supply Chain,996.02,Livré,Aucun
LIV00773,Magasin → Magasin,E08,Nantes-Atlantique,E07,Bordeaux-Centre,P001,Lait demi-écrémé,Alimentaire,2025-08-10,2025-08-14,4,1009,2249.1,XPO Logistics,395.91,En transit,Aucun
LIV00774,Fournisseur → Entrepôt,E02,Lyon-Sud,E04,Lille-Nord,P004,Shampoing,Droguerie,2025-01-06,2025-01-11,5,319,615.0,FM Logistic,343.12,Livré,Aucun
LIV00775,Inter-entrepôts,E04,Lille-Nord,E05,Toulouse-Ouest,P008,Smartphone,Électronique,2025-05-24,2025-05-25,1,1082,11106.4,DB Schenker,1060.99,Livré,Aucun
LIV00776,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E06,Nice-Est,P007,Jeans,Textile,2025-10-30,2025-11-04,5,1114,813.3,XPO Logistics,320.08,Livré,Aucun
LIV00777,Entrepôt → Magasin,E04,Lille-Nord,E05,Toulouse-Ouest,P002,Riz 1kg,Alimentaire,2025-01-08,2025-01-13,5,1115,962.3,DHL Supply Chain,390.11,Livré,Aucun
LIV00778,Inter-entrepôts,E01,Paris-Rungis,E07,Bordeaux-Centre,P007,Jeans,Textile,2025-05-04,2025-05-08,4,137,497.2,Geodis,205.32,Livré,Retard transporteur
LIV00779,Fournisseur → Entrepôt,E02,Lyon-Sud,E05,Toulouse-Ouest,P008,Smartphone,Électronique,2025-07-13,2025-07-14,1,902,9622.2,FM Logistic,1039.1,En transit,Erreur quantité
LIV00780,Magasin → Magasin,E04,Lille-Nord,E05,Toulouse-Ouest,P001,Lait demi-écrémé,Alimentaire,2025-03-09,2025-03-12,3,508,7476.8,FM Logistic,1248.17,Retardé,Retard transporteur
LIV00781,Inter-entrepôts,E03,Marseille-Port,E04,Lille-Nord,P005,Lessive,Droguerie,2025-07-04,2025-07-05,1,1135,16927.7,FM Logistic,4859.93,Livré,Aucun
LIV00782,Magasin → Magasin,E04,Lille-Nord,E08,Nantes-Atlantique,P009,TV 4K,Électronique,2025-09-12,2025-09-13,1,1107,15218.0,Geodis,3302.44,Livré,Aucun
LIV00783,Entrepôt → Magasin,E07,Bordeaux-Centre,E04,Lille-Nord,P006,T-shirt homme,Textile,2025-10-04,2025-10-07,3,1065,4815.7,FM Logistic,1687.3,En transit,Aucun
LIV00784,Inter-entrepôts,E01,Paris-Rungis,E08,Nantes-Atlantique,P001,Lait demi-écrémé,Alimentaire,2025-05-22,2025-05-26,4,136,490.9,FM Logistic,383.32,Livré,Aucun
LIV00785,Magasin → Magasin,E01,Paris-Rungis,E05,Toulouse-Ouest,P005,Lessive,Droguerie,2025-10-17,2025-10-19,2,973,5626.4,Geodis,1523.26,Livré,Aucun
LIV00786,Fournisseur → Entrepôt,E04,Lille-Nord,E01,Paris-Rungis,P005,Lessive,Droguerie,2025-08-29,2025-08-30,1,269,2012.7,DB Schenker,423.1,En transit,Aucun
LIV00787,Entrepôt → Magasin,E04,Lille-Nord,E01,Paris-Rungis,P001,Lait demi-écrémé,Alimentaire,2025-06-14,2025-06-15,1,252,3391.1,DHL Supply Chain,919.67,Retardé,Aucun
LIV00788,Inter-entrepôts,E01,Paris-Rungis,E06,Nice-Est,P005,Lessive,Droguerie,2025-04-03,2025-04-07,4,639,420.5,XPO Logistics,128.99,Livré,Aucun
LIV00789,Fournisseur → Entrepôt,E06,Nice-Est,E02,Lyon-Sud,P003,Pâtes 500g,Alimentaire,2025-01-07,2025-01-10,3,1430,3372.7,Geodis,689.02,En transit,Retard transporteur
LIV00790,Inter-entrepôts,E06,Nice-Est,E02,Lyon-Sud,P005,Lessive,Droguerie,2025-08-28,2025-08-29,1,198,2390.7,Geodis,618.46,En transit,Aucun
LIV00791,Fournisseur → Entrepôt,E02,Lyon-Sud,E03,Marseille-Port,P010,Casque audio,Électronique,2025-12-21,2025-12-22,1,1096,10561.1,Geodis,815.98,Livré,Retard transporteur
LIV00792,Inter-entrepôts,E01,Paris-Rungis,E07,Bordeaux-Centre,P001,Lait demi-écrémé,Alimentaire,2025-09-10,2025-09-13,3,1304,18122.9,FM Logistic,5568.83,Livré,Aucun
LIV00793,Inter-entrepôts,E04,Lille-Nord,E08,Nantes-Atlantique,P003,Pâtes 500g,Alimentaire,2025-08-31,2025-09-04,4,1443,13689.8,DB Schenker,3515.39,Livré,Casse
LIV00794,Magasin → Magasin,E04,Lille-Nord,E06,Nice-Est,P008,Smartphone,Électronique,2025-11-10,2025-11-12,2,96,829.4,DHL Supply Chain,215.16,En transit,Aucun
LIV00795,Entrepôt → Magasin,E06,Nice-Est,E04,Lille-Nord,P004,Shampoing,Droguerie,2025-07-30,2025-07-31,1,908,1352.9,FM Logistic,422.93,Livré,Aucun
LIV00796,Fournisseur → Entrepôt,E02,Lyon-Sud,E03,Marseille-Port,P006,T-shirt homme,Textile,2025-10-02,2025-10-03,1,1172,4173.3,XPO Logistics,852.21,En transit,Aucun
LIV00797,Magasin → Magasin,E06,Nice-Est,E07,Bordeaux-Centre,P004,Shampoing,Droguerie,2025-02-13,2025-02-16,3,655,6868.9,Geodis,1615.27,Livré,Aucun
LIV00798,Fournisseur → Entrepôt,E01,Paris-Rungis,E08,Nantes-Atlantique,P009,TV 4K,Électronique,2025-10-26,2025-10-29,3,232,3194.0,FM Logistic,572.48,Livré,Erreur quantité
LIV00799,Magasin → Magasin,E08,Nantes-Atlantique,E04,Lille-Nord,P004,Shampoing,Droguerie,2025-05-03,2025-05-04,1,273,878.4,FM Logistic,358.28,Livré,Retard transporteur
LIV00800,Inter-entrepôts,E02,Lyon-Sud,E07,Bordeaux-Centre,P010,Casque audio,Électronique,2025-07-17,2025-07-18,1,307,1556.1,Geodis,543.76,Livré,Aucun
LIV00801,Entrepôt → Magasin,E05,Toulouse-Ouest,E02,Lyon-Sud,P009,TV 4K,Électronique,2025-08-11,2025-08-15,4,888,6990.3,XPO Logistics,1419.11,Livré,Aucun
LIV00802,Magasin → Magasin,E06,Nice-Est,E04,Lille-Nord,P009,TV 4K,Électronique,2025-11-07,2025-11-11,4,883,2893.9,FM Logistic,648.17,Retardé,Aucun
LIV00803,Entrepôt → Magasin,E03,Marseille-Port,E02,Lyon-Sud,P004,Shampoing,Droguerie,2025-01-23,2025-01-28,5,952,699.0,DHL Supply Chain,439.61,Livré,Aucun
LIV00804,Entrepôt → Magasin,E08,Nantes-Atlantique,E03,Marseille-Port,P002,Riz 1kg,Alimentaire,2025-09-26,2025-09-30,4,293,537.2,DHL Supply Chain,317.59,En transit,Aucun
LIV00805,Inter-entrepôts,E07,Bordeaux-Centre,E04,Lille-Nord,P009,TV 4K,Électronique,2025-12-18,2025-12-20,2,1045,10281.8,Geodis,844.84,Retardé,Aucun
LIV00806,Magasin → Magasin,E07,Bordeaux-Centre,E08,Nantes-Atlantique,P009,TV 4K,Électronique,2025-12-15,2025-12-20,5,139,1830.1,DB Schenker,361.54,Livré,Retard transporteur
LIV00807,Inter-entrepôts,E05,Toulouse-Ouest,E04,Lille-Nord,P006,T-shirt homme,Textile,2025-09-15,2025-09-16,1,874,7276.2,Geodis,662.78,Livré,Aucun
LIV00808,Magasin → Magasin,E08,Nantes-Atlantique,E01,Paris-Rungis,P004,Shampoing,Droguerie,2025-03-05,2025-03-06,1,1151,1399.2,DB Schenker,333.85,Livré,Aucun
LIV00809,Fournisseur → Entrepôt,E05,Toulouse-Ouest,E06,Nice-Est,P008,Smartphone,Électronique,2025-10-10,2025-10-15,5,101,1432.0,DB Schenker,475.34,Retardé,Aucun
LIV00810,Magasin → Magasin,E06,Nice-Est,E05,Toulouse-Ouest,P007,Jeans,Textile,2025-12-21,2025-12-25,4,1309,3000.0,Geodis,269.9,Livré,Erreur quantité
LIV00811,Magasin → Magasin,E07,Bordeaux-Centre,E06,Nice-Est,P007,Jeans,Textile,2025-06-02,2025-06-03,1,665,9211.5,Geodis,2050.24,Livré,Aucun
LIV00812,Magasin → Magasin,E01,Paris-Rungis,E08,Nantes-Atlantique,P004,Shampoing,Droguerie,2025-08-16,2025-08-21,5,364,5044.5,Geodis,1196.0,Retardé,Aucun
LIV00813,Inter-entrepôts,E07,Bordeaux-Centre,E06,Nice-Est,P009,TV 4K,Électronique,2025-09-28,2025-10-02,4,57,257.9,Geodis,204.03,Retardé,Aucun
LIV00814,Inter-entrepôts,E08,Nantes-Atlantique,E02,Lyon-Sud,P002,Riz 1kg,Alimentaire,2025-05-26,2025-05-28,2,254,3215.3,FM Logistic,845.17,Livré,Aucun
LIV00815,Fournisseur → Entrepôt,E05,Toulouse-Ouest,E02,Lyon-Sud,P004,Shampoing,Droguerie,2025-02-26,2025-03-02,4,1125,2967.8,DHL Supply Chain,567.89,Livré,Retard transporteur
LIV00816,Magasin → Magasin,E07,Bordeaux-Centre,E02,Lyon-Sud,P001,Lait demi-écrémé,Alimentaire,2025-09-28,2025-10-01,3,38,526.2,Geodis,202.82,Retardé,Aucun
LIV00817,Entrepôt → Magasin,E06,Nice-Est,E04,Lille-Nord,P008,Smartphone,Électronique,2025-05-31,2025-06-04,4,800,1873.6,DHL Supply Chain,599.17,Livré,Aucun
LIV00818,Fournisseur → Entrepôt,E03,Marseille-Port,E04,Lille-Nord,P006,T-shirt homme,Textile,2025-12-06,2025-12-09,3,316,1316.8,FM Logistic,406.4,Livré,Aucun
LIV00819,Entrepôt → Magasin,E08,Nantes-Atlantique,E02,Lyon-Sud,P003,Pâtes 500g,Alimentaire,2025-08-04,2025-08-08,4,1271,5450.3,Geodis,919.0,Livré,Aucun
LIV00820,Inter-entrepôts,E03,Marseille-Port,E05,Toulouse-Ouest,P004,Shampoing,Droguerie,2025-10-13,2025-10-17,4,1384,11351.5,FM Logistic,1297.17,Livré,Aucun
LIV00821,Magasin → Magasin,E03,Marseille-Port,E02,Lyon-Sud,P006,T-shirt homme,Textile,2025-11-28,2025-12-01,3,876,8622.5,Geodis,2122.19,Livré,Aucun
LIV00822,Entrepôt → Magasin,E04,Lille-Nord,E03,Marseille-Port,P007,Jeans,Textile,2025-07-10,2025-07-14,4,560,5448.2,Geodis,621.45,Livré,Aucun
LIV00823,Fournisseur → Entrepôt,E03,Marseille-Port,E05,Toulouse-Ouest,P003,Pâtes 500g,Alimentaire,2025-09-04,2025-09-06,2,1293,7337.5,DHL Supply Chain,1612.55,Livré,Aucun
LIV00824,Magasin → Magasin,E05,Toulouse-Ouest,E08,Nantes-Atlantique,P007,Jeans,Textile,2025-11-22,2025-11-23,1,1209,14569.5,Geodis,1204.58,Livré,Casse
LIV00825,Entrepôt → Magasin,E01,Paris-Rungis,E06,Nice-Est,P002,Riz 1kg,Alimentaire,2025-08-09,2025-08-13,4,738,9274.9,XPO Logistics,1969.23,Livré,Aucun
LIV00826,Entrepôt → Magasin,E01,Paris-Rungis,E02,Lyon-Sud,P008,Smartphone,Électronique,2025-09-23,2025-09-26,3,829,1836.5,XPO Logistics,602.1,Livré,Aucun
LIV00827,Entrepôt → Magasin,E06,Nice-Est,E02,Lyon-Sud,P003,Pâtes 500g,Alimentaire,2025-06-24,2025-06-29,5,1178,9123.3,XPO Logistics,2714.38,En transit,Aucun
LIV00828,Inter-entrepôts,E02,Lyon-Sud,E05,Toulouse-Ouest,P007,Jeans,Textile,2025-07-11,2025-07-15,4,1176,15680.1,DHL Supply Chain,1125.59,Livré,Aucun
LIV00829,Entrepôt → Magasin,E02,Lyon-Sud,E08,Nantes-Atlantique,P008,Smartphone,Électronique,2025-02-17,2025-02-19,2,1380,18932.2,DB Schenker,1037.71,Livré,Aucun
LIV00830,Inter-entrepôts,E03,Marseille-Port,E05,Toulouse-Ouest,P007,Jeans,Textile,2025-05-12,2025-05-14,2,645,8082.6,DHL Supply Chain,1950.89,Livré,Aucun
LIV00831,Fournisseur → Entrepôt,E01,Paris-Rungis,E08,Nantes-Atlantique,P006,T-shirt homme,Textile,2025-04-09,2025-04-12,3,1032,13792.5,XPO Logistics,3122.3,Livré,Aucun
LIV00832,Fournisseur → Entrepôt,E06,Nice-Est,E02,Lyon-Sud,P009,TV 4K,Électronique,2025-10-03,2025-10-07,4,713,3978.2,XPO Logistics,1024.98,Retardé,Aucun
LIV00833,Entrepôt → Magasin,E05,Toulouse-Ouest,E07,Bordeaux-Centre,P002,Riz 1kg,Alimentaire,2025-12-11,2025-12-14,3,671,1815.5,XPO Logistics,631.4,En transit,Casse
LIV00834,Entrepôt → Magasin,E02,Lyon-Sud,E05,Toulouse-Ouest,P005,Lessive,Droguerie,2025-04-29,2025-04-30,1,1359,5324.1,DB Schenker,1635.71,Retardé,Aucun
LIV00835,Fournisseur → Entrepôt,E05,Toulouse-Ouest,E02,Lyon-Sud,P004,Shampoing,Droguerie,2025-03-16,2025-03-21,5,1448,7013.4,DB Schenker,1722.7,Retardé,Casse
LIV00836,Entrepôt → Magasin,E05,Toulouse-Ouest,E08,Nantes-Atlantique,P008,Smartphone,Électronique,2025-08-21,2025-08-23,2,546,5270.8,FM Logistic,1500.79,Retardé,Aucun
LIV00837,Inter-entrepôts,E05,Toulouse-Ouest,E01,Paris-Rungis,P010,Casque audio,Électronique,2025-01-06,2025-01-10,4,932,8881.0,DHL Supply Chain,2470.59,Livré,Aucun
LIV00838,Fournisseur → Entrepôt,E05,Toulouse-Ouest,E02,Lyon-Sud,P010,Casque audio,Électronique,2025-09-18,2025-09-20,2,1195,10370.0,XPO Logistics,898.69,Livré,Aucun
LIV00839,Magasin → Magasin,E06,Nice-Est,E05,Toulouse-Ouest,P006,T-shirt homme,Textile,2025-11-06,2025-11-10,4,113,1641.0,DB Schenker,532.57,Livré,Aucun
LIV00840,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-10-18,2025-10-19,1,750,8681.4,DB Schenker,2469.24,Livré,Aucun
LIV00841,Magasin → Magasin,E06,Nice-Est,E01,Paris-Rungis,P003,Pâtes 500g,Alimentaire,2025-04-25,2025-04-28,3,428,5911.2,Geodis,931.48,Livré,Aucun
LIV00842,Magasin → Magasin,E04,Lille-Nord,E01,Paris-Rungis,P004,Shampoing,Droguerie,2025-10-30,2025-11-02,3,1259,12379.1,DB Schenker,1640.76,Livré,Aucun
LIV00843,Fournisseur → Entrepôt,E01,Paris-Rungis,E07,Bordeaux-Centre,P008,Smartphone,Électronique,2025-04-18,2025-04-19,1,329,2628.3,XPO Logistics,254.78,Livré,Aucun
LIV00844,Entrepôt → Magasin,E02,Lyon-Sud,E04,Lille-Nord,P005,Lessive,Droguerie,2025-05-15,2025-05-19,4,1143,8831.7,Geodis,1087.71,Retardé,Aucun
LIV00845,Fournisseur → Entrepôt,E01,Paris-Rungis,E05,Toulouse-Ouest,P001,Lait demi-écrémé,Alimentaire,2025-11-15,2025-11-18,3,1331,14516.6,DHL Supply Chain,3326.06,Livré,Aucun
LIV00846,Magasin → Magasin,E03,Marseille-Port,E04,Lille-Nord,P004,Shampoing,Droguerie,2025-03-08,2025-03-12,4,695,4836.6,DHL Supply Chain,488.09,Livré,Aucun
LIV00847,Entrepôt → Magasin,E08,Nantes-Atlantique,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-11-25,2025-11-27,2,913,8383.8,XPO Logistics,1676.69,Livré,Aucun
LIV00848,Magasin → Magasin,E04,Lille-Nord,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-02-25,2025-03-02,5,625,3512.9,XPO Logistics,677.34,En transit,Aucun
LIV00849,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E06,Nice-Est,P010,Casque audio,Électronique,2025-03-20,2025-03-25,5,349,2155.6,DB Schenker,388.07,Livré,Retard transporteur
LIV00850,Entrepôt → Magasin,E06,Nice-Est,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-06-10,2025-06-12,2,996,13893.4,Geodis,2495.18,En transit,Erreur quantité
LIV00851,Fournisseur → Entrepôt,E06,Nice-Est,E07,Bordeaux-Centre,P004,Shampoing,Droguerie,2025-04-09,2025-04-11,2,154,2255.7,XPO Logistics,649.47,Livré,Aucun
LIV00852,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E03,Marseille-Port,P007,Jeans,Textile,2025-02-02,2025-02-07,5,876,9913.5,Geodis,2770.38,Livré,Aucun
LIV00853,Entrepôt → Magasin,E01,Paris-Rungis,E03,Marseille-Port,P008,Smartphone,Électronique,2025-09-28,2025-10-02,4,640,6428.7,DHL Supply Chain,1699.94,En transit,Aucun
LIV00854,Entrepôt → Magasin,E01,Paris-Rungis,E04,Lille-Nord,P002,Riz 1kg,Alimentaire,2025-11-22,2025-11-24,2,676,2461.6,Geodis,738.74,Livré,Aucun
LIV00855,Entrepôt → Magasin,E06,Nice-Est,E02,Lyon-Sud,P008,Smartphone,Électronique,2025-07-16,2025-07-21,5,436,1224.2,DHL Supply Chain,439.89,Retardé,Aucun
LIV00856,Fournisseur → Entrepôt,E07,Bordeaux-Centre,E08,Nantes-Atlantique,P003,Pâtes 500g,Alimentaire,2025-04-02,2025-04-06,4,1065,10907.7,XPO Logistics,1941.27,Livré,Retard transporteur
LIV00857,Fournisseur → Entrepôt,E04,Lille-Nord,E06,Nice-Est,P008,Smartphone,Électronique,2025-03-10,2025-03-11,1,920,4673.6,DB Schenker,1170.97,Livré,Aucun
LIV00858,Fournisseur → Entrepôt,E02,Lyon-Sud,E06,Nice-Est,P010,Casque audio,Électronique,2025-07-12,2025-07-15,3,656,9541.8,DB Schenker,2141.03,En transit,Aucun
LIV00859,Inter-entrepôts,E05,Toulouse-Ouest,E01,Paris-Rungis,P010,Casque audio,Électronique,2025-03-14,2025-03-18,4,924,13062.1,DHL Supply Chain,1034.95,En transit,Aucun
LIV00860,Fournisseur → Entrepôt,E01,Paris-Rungis,E07,Bordeaux-Centre,P008,Smartphone,Électronique,2025-01-31,2025-02-03,3,1390,2660.7,Geodis,630.71,Livré,Aucun
LIV00861,Inter-entrepôts,E02,Lyon-Sud,E07,Bordeaux-Centre,P009,TV 4K,Électronique,2025-08-11,2025-08-15,4,277,4143.7,DB Schenker,895.94,Livré,Retard transporteur
LIV00862,Magasin → Magasin,E07,Bordeaux-Centre,E01,Paris-Rungis,P010,Casque audio,Électronique,2025-07-28,2025-08-01,4,950,9869.1,DB Schenker,2750.06,Livré,Aucun
LIV00863,Inter-entrepôts,E05,Toulouse-Ouest,E01,Paris-Rungis,P002,Riz 1kg,Alimentaire,2025-01-01,2025-01-03,2,813,8060.5,DHL Supply Chain,1237.15,Livré,Aucun
LIV00864,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E02,Lyon-Sud,P003,Pâtes 500g,Alimentaire,2025-10-29,2025-11-02,4,992,14503.1,FM Logistic,1092.89,Livré,Aucun
LIV00865,Entrepôt → Magasin,E03,Marseille-Port,E02,Lyon-Sud,P004,Shampoing,Droguerie,2025-01-28,2025-02-02,5,618,8281.6,Geodis,1522.2,Livré,Aucun
LIV00866,Magasin → Magasin,E02,Lyon-Sud,E08,Nantes-Atlantique,P007,Jeans,Textile,2025-06-21,2025-06-23,2,957,3378.2,DB Schenker,927.57,Livré,Retard transporteur
LIV00867,Inter-entrepôts,E01,Paris-Rungis,E05,Toulouse-Ouest,P009,TV 4K,Électronique,2025-02-05,2025-02-09,4,315,2774.5,Geodis,375.89,Livré,Aucun
LIV00868,Magasin → Magasin,E02,Lyon-Sud,E08,Nantes-Atlantique,P001,Lait demi-écrémé,Alimentaire,2025-08-10,2025-08-14,4,259,1590.4,FM Logistic,259.59,En transit,Aucun
LIV00869,Entrepôt → Magasin,E05,Toulouse-Ouest,E01,Paris-Rungis,P002,Riz 1kg,Alimentaire,2025-08-24,2025-08-29,5,1320,16983.8,FM Logistic,3043.93,Livré,Aucun
LIV00870,Fournisseur → Entrepôt,E07,Bordeaux-Centre,E04,Lille-Nord,P001,Lait demi-écrémé,Alimentaire,2025-10-18,2025-10-23,5,803,8186.2,XPO Logistics,1651.68,Livré,Aucun
LIV00871,Inter-entrepôts,E04,Lille-Nord,E01,Paris-Rungis,P009,TV 4K,Électronique,2025-12-09,2025-12-13,4,1118,8833.3,FM Logistic,2177.4,Livré,Aucun
LIV00872,Inter-entrepôts,E05,Toulouse-Ouest,E08,Nantes-Atlantique,P004,Shampoing,Droguerie,2025-08-22,2025-08-25,3,1283,7990.6,DHL Supply Chain,1608.27,Livré,Erreur quantité
LIV00873,Fournisseur → Entrepôt,E03,Marseille-Port,E07,Bordeaux-Centre,P004,Shampoing,Droguerie,2025-01-07,2025-01-08,1,1177,12689.9,DB Schenker,971.19,Livré,Aucun
LIV00874,Entrepôt → Magasin,E02,Lyon-Sud,E08,Nantes-Atlantique,P004,Shampoing,Droguerie,2025-04-21,2025-04-25,4,936,12084.8,FM Logistic,2872.08,En transit,Aucun
LIV00875,Entrepôt → Magasin,E05,Toulouse-Ouest,E01,Paris-Rungis,P009,TV 4K,Électronique,2025-03-23,2025-03-28,5,383,5449.1,Geodis,1448.78,Retardé,Aucun
LIV00876,Inter-entrepôts,E08,Nantes-Atlantique,E01,Paris-Rungis,P007,Jeans,Textile,2025-06-16,2025-06-17,1,1173,5155.1,DB Schenker,1298.39,En transit,Aucun
LIV00877,Magasin → Magasin,E04,Lille-Nord,E05,Toulouse-Ouest,P009,TV 4K,Électronique,2025-02-13,2025-02-15,2,251,3329.6,XPO Logistics,922.79,Livré,Aucun
LIV00878,Magasin → Magasin,E01,Paris-Rungis,E02,Lyon-Sud,P005,Lessive,Droguerie,2025-08-14,2025-08-19,5,108,514.8,FM Logistic,240.52,Livré,Aucun
LIV00879,Entrepôt → Magasin,E06,Nice-Est,E01,Paris-Rungis,P010,Casque audio,Électronique,2025-04-25,2025-04-30,5,532,7258.8,Geodis,1451.49,Livré,Retard transporteur
LIV00880,Inter-entrepôts,E07,Bordeaux-Centre,E08,Nantes-Atlantique,P009,TV 4K,Électronique,2025-11-02,2025-11-03,1,53,501.8,FM Logistic,287.44,Livré,Aucun
LIV00881,Entrepôt → Magasin,E05,Toulouse-Ouest,E03,Marseille-Port,P002,Riz 1kg,Alimentaire,2025-08-08,2025-08-12,4,1489,8955.5,DB Schenker,917.8,Livré,Retard transporteur
LIV00882,Inter-entrepôts,E01,Paris-Rungis,E05,Toulouse-Ouest,P008,Smartphone,Électronique,2025-01-26,2025-01-31,5,71,378.5,Geodis,362.69,Livré,Aucun
LIV00883,Fournisseur → Entrepôt,E08,Nantes-Atlantique,E04,Lille-Nord,P010,Casque audio,Électronique,2025-12-26,2025-12-29,3,1447,10732.7,DB Schenker,1352.69,Livré,Aucun
LIV00884,Entrepôt → Magasin,E07,Bordeaux-Centre,E01,Paris-Rungis,P008,Smartphone,Électronique,2025-06-27,2025-07-02,5,1153,10665.6,DHL Supply Chain,1096.18,Livré,Aucun
LIV00885,Magasin → Magasin,E05,Toulouse-Ouest,E07,Bordeaux-Centre,P002,Riz 1kg,Alimentaire,2025-11-09,2025-11-12,3,1217,17633.6,Geodis,2584.54,Livré,Erreur quantité
LIV00886,Entrepôt → Magasin,E02,Lyon-Sud,E01,Paris-Rungis,P003,Pâtes 500g,Alimentaire,2025-07-26,2025-07-28,2,444,1845.6,DHL Supply Chain,463.1,Livré,Casse
LIV00887,Magasin → Magasin,E01,Paris-Rungis,E06,Nice-Est,P006,T-shirt homme,Textile,2025-10-23,2025-10-26,3,1400,3824.4,DB Schenker,783.85,Livré,Aucun
LIV00888,Fournisseur → Entrepôt,E04,Lille-Nord,E07,Bordeaux-Centre,P005,Lessive,Droguerie,2025-05-12,2025-05-17,5,382,627.9,DB Schenker,164.47,Livré,Aucun
LIV00889,Magasin → Magasin,E07,Bordeaux-Centre,E05,Toulouse-Ouest,P005,Lessive,Droguerie,2025-02-21,2025-02-24,3,220,747.5,XPO Logistics,412.58,Annulé,Retard transporteur
LIV00890,Inter-entrepôts,E04,Lille-Nord,E05,Toulouse-Ouest,P006,T-shirt homme,Textile,2025-01-08,2025-01-13,5,451,4178.0,XPO Logistics,627.6,En transit,Retard transporteur
LIV00891,Inter-entrepôts,E03,Marseille-Port,E04,Lille-Nord,P004,Shampoing,Droguerie,2025-05-09,2025-05-11,2,206,2298.9,DHL Supply Chain,691.35,Livré,Aucun
LIV00892,Fournisseur → Entrepôt,E07,Bordeaux-Centre,E02,Lyon-Sud,P009,TV 4K,Électronique,2025-01-04,2025-01-08,4,414,5519.1,DB Schenker,844.77,Livré,Retard transporteur
LIV00893,Fournisseur → Entrepôt,E01,Paris-Rungis,E04,Lille-Nord,P009,TV 4K,Électronique,2025-03-29,2025-04-03,5,609,555.7,DB Schenker,332.23,Livré,Aucun
LIV00894,Magasin → Magasin,E03,Marseille-Port,E06,Nice-Est,P004,Shampoing,Droguerie,2025-08-20,2025-08-21,1,886,11683.5,XPO Logistics,1253.36,En transit,Erreur quantité
LIV00895,Magasin → Magasin,E01,Paris-Rungis,E06,Nice-Est,P001,Lait demi-écrémé,Alimentaire,2025-07-08,2025-07-11,3,1112,2507.3,Geodis,703.89,En transit,Casse
LIV00896,Magasin → Magasin,E08,Nantes-Atlantique,E03,Marseille-Port,P001,Lait demi-écrémé,Alimentaire,2025-02-02,2025-02-03,1,767,2462.2,XPO Logistics,491.91,Livré,Erreur quantité
LIV00897,Fournisseur → Entrepôt,E02,Lyon-Sud,E08,Nantes-Atlantique,P005,Lessive,Droguerie,2025-08-16,2025-08-20,4,701,8012.2,DHL Supply Chain,2291.78,Livré,Aucun
LIV00898,Entrepôt → Magasin,E04,Lille-Nord,E05,Toulouse-Ouest,P010,Casque audio,Électronique,2025-10-28,2025-11-02,5,977,406.6,FM Logistic,275.68,Retardé,Aucun
LIV00899,Inter-entrepôts,E02,Lyon-Sud,E08,Nantes-Atlantique,P003,Pâtes 500g,Alimentaire,2025-12-27,2025-12-29,2,1350,15940.1,DB Schenker,1900.42,Livré,Retard transporteur
LIV00900,Magasin → Magasin,E06,Nice-Est,E08,Nantes-Atlantique,P004,Shampoing,Droguerie,2025-11-27,2025-12-01,4,806,3438.8,XPO Logistics,498.1,Livré,Casse
